V1,V2
"u,s,n,h","hus,nus,snu,snus,sus,uhu,usus,hun,huns"
"t,o,k,l","lotto,tolk,tot"
"l,p,a,n","alp,anal,annal,lal,lala,nlp,pal,lap,plan"
"j,s,u,t","just,sjus,sjut"
"d,t,o,g","ddt,dog,god,godt,godtog"
"b,p,t,e","bebe,etb,bet,ebbe,ebbet,pebet,peb"
"g,i,m,r","gig,grim,gir,mig,rig"
"i,s,k,b","bis,ibis,kik,kis,ksi,ski,skib,skik,biks,kiks,ksis,sis,skis,skibs,skiks"
"h,t,y,s","hys,thy,hyt,thys"
"u,k,j,n","junk,kukkuk,kun,nuuk,kuk"
"v,a,p,r","apv,arv,avra,varp,varv,rav,var"
"t,f,k,a","akt,attak,fat,taft,affat,fakta,kat,tak,takt"
"n,g,p,i","gin,nip,ping,pin"
"n,i,f,t","fin,niti,tin,fint,finit,infinit,nit,tint"
"o,t,a,r","aorta,orator,ror,rotor,tao,tarot,tattoo,tora,tort,rot,tor,tot,tro,tror"
"g,l,t,e","eeg,elg,gel,leg,lege,ege,eget,elge,leget,tegl,teglet"
"f,e,j,l","fej,feje,fejle,lefle,fejl,lefl"
"r,d,a,g","ara,ard,arg,grad,graddag,radar,rag,raga,rar,agrar,drag,rad"
"i,v,s,u","sisu,siv,uvis,viv,sis,sisus,sivs,svi,vis,vivs"
"l,r,o,e","eller,ler,reol,rolle,elle,leer,loer,reel,reeler,reelle,reoler,roller"
"g,b,l,o","blog,glo,gogo,logbog,logo,bog,googl,log"
"t,s,v,a","atv,stat,stav,tast,tavs,vat,sat,sats,stats,stavs,tasts,tavst,tav,vats"
"l,n,a,b","alba,anal,annal,banal,lab,laban,lal,lala,bal"
"m,o,a,n","mama,mammon,manna,mon,mono,monoman,oman,annam,man"
"k,y,n,l","klynk,nyk,ynk,kny,kyl"
"d,i,y,n","did,din,dyd,dyn,dynd,ind,nid,indynd,nyd,ynd"
"e,t,g,j","eeg,tee,tete,ege,eget,eje,ejet,jeg,jeget,jet,teet"
"a,o,l,v","avl,lal,lala,lava,val,lav,oval"
"g,c,i,n","gig,gin,icing"
"l,m,u,f","ful,mulm,fuml,luf,lul,mul,muml,ulm"
"n,j,u,k","junk,kun,nuuk"
"s,o,r,m","mms,moms,mors,morsom,sms,som,sos,mormors,moros,mos,orms,ros,roms,rors"
"y,b,s,u","bybus,bys,sys"
"r,o,s,b","bro,bror,ror,bor,bors,bros,brors,ros,rors"
"d,s,a,f","das,dada,dadas,fad,fads,sad"
"i,s,t,w","sti,tis,twist,sis,sit,stis,tit,tits,twists,twit"
"i,s,e,a","ais,asie,eis,ise,isse,asies,ises,isses,sis,sies"
"f,t,d,e","fede,fedt,fedte,fedtet,feed,fed,feddet,fedet,fedede,fedtede,feedet"
"j,b,e,o","job,eje,jobbe"
"i,t,l,w","ilt,til,twill,tilt,tit,twit"
"d,k,n,u","dun,kudu,udu,duk,dunk,und"
"a,e,c,p","app,cape,pap,papa,pace"
"a,m,r,h","aha,ara,hamam,haram,mama,rar,arm,ham,hamr,harm,har,ram"
"o,d,l,f","fol,flod,fod,fold,lod"
"n,p,k,a","kanaan,nappa,ank,knap,kan,nak,nap"
"t,d,b,y","ddt,tyd,byt,dybt,dyt"
"i,a,n,d","did,din,ind,indad,nid"
"v,a,l,i","avl,lava,liv,val,via,villa,viv,lav,vil"
"r,a,k,m","ara,arrak,kar,karm,karma,krak,rak,rar,ark,arm,kram,mark,ram"
"l,m,i,s","lim,mil,missil,simili,slim,smil,ils,lis,lims,mils,missils,sil,similis,slims,smils"
"r,s,g,i","gris,gir,irs,iris,ris,rir,rig,rigs,sir,sirs"
"n,o,d,a","and,anno,dna,donna,ond,dan"
"b,s,a,r","abs,barbar,bars,bas,basar,bar,barbars,basars,bras"
"r,p,u,s","prr,purpur,rur,ussr,pur,purs,purpurs,rurs,rus,sur,surs,urs"
"f,p,u,e","efeu,fuppe,puffe,fup,puf"
"r,s,i,l","lir,irs,iris,lirs,ris,rir,ril,risl,sir,sirs"
"i,l,m,b","bil,bmi,lim,mil,biml,mim"
"t,r,l,y","tyl,tyr,lyt,tryl,ytr"
"o,s,b,y","bob,boss,bybo,obo,obs,sos,yoyo,bos,bobs,bybos,obos,yoyos"
"b,s,o,m","bob,bom,boom,boss,obo,obs,bos,bobs,boms,bomb,booms,mob,obos"
"u,l,g,t","glug,glut,gul,gut,lugt,lut,tugt,utugt,gult,lug,lul,tul,tut,ugl"
"g,u,i,t","gig,gigt,gut,tugt,tugtig,utugt,utugtig,tig,tugtigt,utugtigt"
"s,c,u,p","pps,sus,ups,usus,cups,pus"
"z,s,o,n","ozon,zoo,ozons,zoos"
"p,n,i,k","kip,nip,pink,pik,pin,pip"
"o,g,l,z","glo,gogo,logo,zoo,zoolog,googl,log"
"g,e,b,o","beg,begge,boge,eeg,ego,gogo,bog,ege"
"r,n,y,s","rys,syr,syrn"
"p,a,l,f","alp,app,flap,pal,pap,papa,lap,paf,plaf"
"e,m,v,h","emme,hvem,meme,hev"
"h,m,a,l","aha,hal,halal,hall,halm,halma,hamam,ham,haml"
"y,i,l,d","dyd,idyl,lyd"
"k,r,u,n","kruk,kukkuk,kukur,kun,nuuk,knur,kuk,kur"
"k,p,n,a","kanaan,kappa,pak,ank,kap,knap,kan,nak"
"k,l,a,c","alk,kalla,kcal,lak,kalk"
"y,d,e,j","dyd,jyde,yde,dyede,ydede"
"o,e,d,t","deo,odde,ode,otte,totte,tottet,doet,toet,toede,tot,tottede"
"h,a,s,t","aha,hash,hast,hat,shah,has,hashs,hasts,hats,shahs"
"e,l,u,h","hel,hulle,leu,lulle,elle,hele,helle,hue,hule,lue"
"a,i,p,l","alp,app,ipa,lal,lala,lilla,pal,pap,papa,papil,lap"
"v,s,e,t","vvs,ves,vest,vests,veste,vestes"
"o,n,r,g","gogo,gong,gongong,gro,grog,ngo,nor,rogn,ror,gror"
"o,r,n,h","hor,horn,nor,oho,rho,ror"
"k,n,a,e","akne,enke,kanaan,kane,aknen,anke,anken,ank,enken,kanen,kan,nakke,nakken,nak"
"r,y,t,s","styr,styrt,tyr,rys,ryst,styrs,styrts,syr,tyrs,ytr"
"y,g,e,r","ryg,ryge,ryger,gry,gryr,gryer,rygge,rygere"
"u,f,m,l","ful,mulm,fuml,luf,lul,mul,muml,ulm"
"t,v,g,i","gigt,givtig,vigtig,vittig,givtigt,tig,tit,vigt,vigtigt,vittigt"
"r,k,s,y","kry,ryk,skyr,rys,ryks,skyrs,syr"
"y,t,k,r","kry,ryk,tryk,tyk,tyr,tyrk,trykt,tykt,ytr"
"e,n,h,u","hen,henne,ene,enen,huen,hue,hunnen"
"b,o,a,n","banan,boa,bob,bon,bonbon,nabo,obo,ban"
"t,g,u,b","bugt,but,gut,tugt,utugt,tut"
"r,i,s,c","irs,iris,ris,rir,risici,risicis,sir,sirs"
"g,r,a,u","arg,augur,gag,gaga,gru,guru,rag,raga,rug,agrar"
"h,i,d,v","hid,hiv,hvid"
"p,e,k,n","kneppe,pen,pep,peppe,knep,pennen,pennene,penne"
"h,p,i,o","hiphop,hipo,hop,oho,hip"
"i,a,v,l","lilla,liv,via,villa,viv,vil"
"k,e,l,m","kel,kele,klem,klemme"
"h,a,m,e","aha,hamam,ham,hamme"
"o,s,g,m","gmo,gogo,gom,moms,smog,som,sos,gos,gogos,goms,mos,smogs"
"h,b,u,e","buh,buhe,hub,uhu,hue"
"u,n,g,l","glug,gnu,gul,lun,ung,guln,lug,lul,nul,ugl"
"a,s,t,w","stat,tast,watt,sat,sats,stats,tasts,watts"
"k,g,n,a","gak,gakgak,kag,kanaan,ank,knag,kan,nak"
"o,n,s,j","jon,sno,sos,jons,nos,snos,son"
"o,b,l,g","blog,bob,glo,gogo,lob,logbog,logo,obo,bobl,bog,bol,googl,log"
"u,a,t,m","amu,mammut,mut,tau,tut"
"a,h,o,r","aha,ara,hora,rar,har"
"a,i,u,m","amu,imam,mama,umami"
"d,v,e,t","ddt,dvd,veddet,vedet,det,dette,teede,ved,veddede"
"r,s,o,f","fosfor,fro,ror,for,fors,fosfors,ofr,ros,rors"
"m,u,h,o","homo,muh,ohm,omhu,hum"
"e,i,b,g","bebe,beg,begge,beige,bie,eeg,gibbe,gige,ebbe,ege,gie"
"d,e,p,g","ged,gedde,pegede,peppede"
"e,h,u,r","herre,her,herrer,hue,huer,reer,rurer,urer,ure"
"i,n,m,k","kik,kim,kinin,mimik,mini,mink,nik,min,mim"
"v,e,t,i","vie,viv,viet"
"m,o,l,h","holm,homo,lom,ohm,olm,mol"
"f,k,a,l","alf,alfa,falk,laf,afkalk,flak"
"i,y,t,c","city,tic,tit"
"k,r,o,g","gok,kor,kork,krog,rok,rokoko,kog,kok,kro,kror,ork"
"n,a,g,y","agn,gny,nag,yang,gang,gyng,nyn"
"i,a,s,b","ais,basis,bias,bis,ibis,bais,sis"
"o,n,p,y","pony,pop,popo,yoyo,nop"
"l,y,f,v","lyv,fly,flyv"
"p,e,k,a","app,kappa,pak,pap,papa,peake,pep,peppe,kap,kappe,pakke,peak"
"v,a,s,j","sav,sjavs,svaj,vvs,savs,svajs,vaj"
"g,d,p,e","eeg,ged,gedde,peg,pege,ege,pegede"
"d,y,b,l","byld,dyd,lyd,byd,dyb"
"i,e,m,d","did,eid,medie,mide,die,diede,mime,mim,mimede"
"b,u,j,l","blu,bul,ublu,jubl"
"v,o,l,k","klov,vov,vovvov,lov"
"v,k,i,r","kiv,riv,viv,vrik,ivr,kvi,kvik,vir,virk"
"s,h,o,f","fos,hos,sfo,sos,hofs"
"n,a,l,u","alun,anal,annal,lun,annua,nul"
"o,g,r,v","gogo,gro,grog,grov,orv,ror,rov,vov,vovvov,gror,vor"
"u,o,l,s","lus,soul,sul,sus,usus,lul,slus,souls,suls"
"e,j,a,r","arre,eja,ejer,reje,aer,araer,arrer,eje,ejere,jer,jaer,rare,reer,rejer"
"b,r,g,a","barbar,brag,gab,grab,bag,bar"
"s,j,a,b","abs,bas,jas,jabs"
"s,h,r,o","hos,sos,hors,rhos,ros,rors"
"p,r,t,u","prr,prut,purpur,put,ruptur,trup,pur,purt"
"l,i,f,o","fiol,fol,folio,fifl,fil"
"d,t,y,l","ddt,dyd,lyd,lydt,tyd,dyt"
"t,e,y,k","tee,tete,tyk,tykke,teet,tyet,tykt"
"n,b,a,s","ananas,banan,snas,banans,ban,nas,sans"
"r,t,a,d","ara,ard,art,dart,radar,rar,rat,tara,tatar,drat,rad,rart"
"l,o,r,e","eller,ler,reol,rolle,elle,leer,loer,reel,reeler,reelle,reoler,roller"
"j,v,a,k","kaj,kajak,kavaj,kvaj,vaj"
"m,o,l,b","bom,boom,lom,molbo,olm,bomb,mob,mol"
"l,f,d,i","dild,flid,ild,lid,fifl,fil"
"g,w,n,i","gig,gin,wing"
"n,g,m,a","agn,mangan,manna,nag,annam,gang,man,manga"
"i,a,d,r","did,raid,air,dir,rir,rid"
"d,s,i,t","ddt,did,istid,sid,sidst,tid,tids,dit,dis,ids,istids,sidt"
"r,a,t,n","ara,art,nar,ran,rar,rat,tara,tartan,tatar,tran,rart"
"y,s,t,n","nysyn,tys,tyst,nys,nyt,nyn,nyst,nysyns,styn,sys,syn,syns,tystn"
"l,y,n,s","lyn,lyssyn,syl,lys,lyns,lysn,lyssyns,syls,sysl"
"d,a,s,m","das,dada,dadas,dam,dams,mad,mads,sad"
"a,s,g,v","gag,gaga,sag,saga,sav,svag,vag,gags,gas,gav,sags,sagas,savs"
"u,z,r,a","aura,azur,rur"
"a,b,g,t","agat,agt,bat,batat,gab,gag,gaga,gagat,gat,tab,bag,bagt,gabt,tabt,tag"
"l,d,t,y","lyd,lydt,tyl,lyt"
"l,o,k,r","klo,klor,lok,look,klok"
"g,u,a,e","age,eeg,egu,gag,gaga,gage,gauge,uge,ege"
"l,a,b,d","alba,blad,dal,lab,lal,lala,adl,bal,dadl,lad"
"t,g,a,m","agat,agt,amt,atm,gagat,gat,magt,tam,tamtam,mat,tag,tamt"
"e,o,u,r","euro,roe,roer,euroer,reer,roere,rurer,urer,ure,uroer"
"b,p,o,h","bob,bop,hob,obo,ophob"
"y,s,e,r","syrer,yes,rys,sys,syes,syr,syer,syre,syres,syrers,syrere,syreres"
"a,p,m,c","app,cam,mama,pampa,pap,papa,camp"
"o,d,s,b","bob,boss,obo,obs,odds,sod,sos,bos,bobs,bod,bods,dos,obos,ods,sods"
"b,y,d,u","bybud,udbud,bud,byd,dub,dyb,udbyd,uddyb"
"s,n,u,h","hus,nus,snu,snus,sus,usus,huns"
"s,w,t,i","sti,tis,twist,sis,sit,stis,tits,twists"
"k,t,n,i","kik,kinin,kitin,nik,kit,tik"
"s,d,m,i","dims,mis,miss,mms,sid,sms,dis,ids,sis,smid"
"b,u,e,s","bebe,bese,bus,buse,usb,beses,bue,bues,buses,ebbe,ebbes"
"a,p,r,j","app,ara,arp,pap,papa,papaja,par,praj,rar,jap,rap"
"l,i,p,a","alp,lal,lala,lilla,pal,papil,pli,lap,pil"
"e,d,v,o","deo,odde,ode,ved,veddede,vove,vovede"
"n,h,e,l","hen,henne,len,ellen,ellene,ene,enen,hellen,leen,lenene"
"d,p,a,m","damp,pappadam,dada,dam,mad"
"s,b,g,o","boss,obs,sos,bos,bobs,bogs,gos,gogos,obos"
"b,o,v,e","bebe,bebo,beo,bob,bobbe,bov,obo,bove,ebbe"
"o,s,v,t","sos,sot,stovt,tov,vov,vovvov,ost,osts,sots,sov,sovs,tos,tot,tots,tovs"
"m,z,o,s","mms,moms,sms,som,mos,zoom,zooms"
"r,m,k,u","kruk,krum,kukur,mur,rur,kur,rum"
"o,d,a,n","anno,dao,donna,ond"
"i,l,p,f","fif,fip,pli,fifl,fil,flip,pif,pil,pip"
"y,l,t,r","tyl,tyr,lyt,tryl,ytr"
"b,o,r,k","bob,bro,bror,obo,bor,book,brok"
"i,g,t,f","fif,fiffig,fit,giftig,gig,gigt,fiffigt,gift,giftigt,tig,tit"
"o,w,l,b","bob,lob,obo,bobl,bol,bowl,wow"
"l,r,c,e","celle,eller,ler,celler,elle,leer,reel,reeler,reelle"
"b,i,s,a","abs,bas,basis,bias,bis,ibis,bais"
"m,e,y,r","emme,meme,mere,ymer,emmer,memer,myer,myr,myrer,myre,rem,remme"
"i,t,m,n","intim,mini,mint,niti,tin,intimt,min,mit,mim,nit,tint,tit"
"t,m,o,s","most,motto,sot,tom,tomt,mosts,mottos,ost,osts,sots,tos,tomts,tot,tots"
"g,y,d,u","gud,dug,gyd,udgyd"
"v,e,d,h","dvd,hev,hvede,ved,veddede"
"a,e,k,b","kebab,abe,bak,bakke"
"e,r,k,c","kere,kreere,reck,rekreere,ker,kerer,kreer,kreerer,reer,recker,rekreer,rekreerer"
"o,l,f,j","fol,fjol,jol"
"e,a,z,r","arre,aer,araer,arrer,rare,reer,zarer"
"a,d,s,m","das,mama,mas,dada,dadas,dam,dams,mad,mads,mamas,sad"
"t,u,l,s","lut,stuts,sult,tus,luts,slut,sluts,sults,sust,sut,suts,tul,tut,tuts"
"o,r,p,n","nor,pop,popo,porno,pro,prop,ror,nop,nopr"
"n,u,d,r","dun,run,rund,urund,dundr,und,undr"
"e,k,p,a","peake,pep,peppe,kappe,pakke,peak"
"m,u,h,s","hummus,humus,mms,muh,mus,sms,hum,sum,sums"
"a,n,t,i","nat,tannin,tant,titan"
"d,e,f,t","ddt,fede,fedt,fedte,fedtet,feed,det,dette,fed,feddet,fedet,fedede,fedtede,feedet,teede"
"u,f,s,l","flus,ful,lus,sul,sus,usus,fus,luf,lul,slus,suls"
"l,e,t,o","lotte,lotto,telt,telte,elle,let,leet,lette,lettet,lottoet,teltet"
"l,n,e,y","len,lyn,lyne,ellen,ellene,elle,leen,lenene,lyene,lynene"
"k,l,o,v","klo,klov,lok,look,klok,kok"
"p,d,y,r","dryp,dyp,prr,pryd"
"b,d,o,s","bob,boss,obo,obs,bos,bobs,bod,bods,obos"
"j,r,a,p","papaja,praj,jap"
"e,t,i,x","exe,tee,tete,tie,titte,exet,exit,exittet,teet,tiet,tittet"
"b,l,u,e","bebe,bel,ble,blu,bul,bulle,lubbe,ublu,bue,bule,ebbe"
"h,e,d,p","hedde,hep,heppe,hed,hede,heppede"
"i,k,m,o","kik,kim,komik,mimik,mim"
"v,e,b,r","brev,verve,breve,rev,veer,verber"
"h,l,a,e","aha,hal,halal,hall,heale,hel,hale,heal,hele,helle"
"n,u,i,k","ikkun,kinin,kun,nik,nuuk,unik"
"f,r,u,i","fif,fur,riff,ufri,fir,fri,frir,ruf"
"o,e,l,r","reol,roe,roer,rolle,ror,loer,reoler,roere,roller"
"f,l,t,i","fif,filt,fit,fifl,fil,lift,tilfil"
"l,g,k,e","elg,gel,kegle,kel,kele,leg,lege,elle,elge"
"f,o,m,r","formor,fro,from,morf,for,form,ofr,omform"
"l,e,f,c","celle,fleece,lefle,elle,lefl"
"a,h,e,d","adhd,aha,had,hade,heade,aede,dada,hadede,head,headede"
"k,p,e,u","kue,kukke,kukkuk,kup,kuppe,pukke,kuk,puk"
"k,s,j,u","juks,kukkuk,kusk,sjusk,suk,kuk,kuks,kusks,sjusks,sku,suks"
"y,n,g,a","gny,yang,gyng,nyn"
"o,a,d,s","dao,odds,sod,soda,sos,daos,dos,ods,sods,sodas"
"r,o,f,k","fork,fro,kor,kork,rok,rokoko,ror,for,kro,kror,ofr,ork"
"f,m,l,i","fif,film,fim,fifl,fil"
"i,n,p,t","nip,niti,pit,tin,tipi,nit,pin,pint,pip,tint,tip,tit"
"h,l,m,a","aha,hal,halal,hall,halm,halma,hamam,ham,haml"
"k,l,a,t","akt,alk,attak,kalla,klat,lak,laktat,talk,kalk,kat,tak,takl,takt"
"p,y,h,e","hep,heppe,hyp,hyppe,pep,peppe,pyh,yppe,hype"
"i,k,h,n","hik,hin,khi,kik,kinin,nik,hink"
"f,d,e,j","fede,feed,fej,feje,fjed,fed,fedede,fejde,fejd,fejdede,fejede"
"i,m,b,a","ambi,bmi,imam,mim"
"h,s,o,k","hook,hos,oho,hooks"
"a,f,w,t","fat,fatwa,taft,watt,affat"
"t,b,r,a","art,bat,batat,brat,rabat,rat,tab,tara,tatar,bart,rart,tabt"
"u,d,l,a","aud,aula,laud,lud,udad,udu,uld,dul,lul,udlad,udlud"
"k,j,e,t","kejtet,tjek,tjekket,tjekke"
"a,e,g,z","age,gag,gaga,gage,gaze"
"l,f,s,e","lefle,sele,els,elle,elles,les,lefl,lefles,seles"
"n,k,l,i","kinin,klinik,lin,link,nik,klin,klink"
"y,u,s,d","dyd,sydud,udyd,dyds,dys,sys,syd,syds,udyds"
"m,b,e,d","embede,emde,emme,meme,dem,emmede,med,mede,medede"
"s,e,f,m","esse,mms,ses,sms,ems,emmes,esses,fes,fems,memes,messe,messes,mes"
"b,y,e,d","bebe,byde,dybde,edb,bed,bede,byd,dyb,dybe,ebbe,ebbede"
"r,d,j,o","ord,ror,jord,rod"
"b,l,u,g","blu,bul,gulbug,ublu,bug"
"o,l,b,w","bob,lob,obo,bobl,bol,bowl,wow"
"j,m,e,d","dej,medeje,meje,deje,eje,ejede,mej,mejede"
"h,u,j,e","hej,huj,huje,juhu,uhu,hue"
"s,n,g,y","gys,nysyn,sng,syg,gnys,nys,nysyns,sys,sygn,syn,syns,syng"
"t,e,b,d","ddt,debet,etb,tee,tete,bedet,bedt,bet,det,dette,ebbet,teet,teede"
"k,e,i,h","hik,ikke,khi,kik,kikke,hike,hikke"
"p,s,o,r","pop,popo,pors,pps,pro,prop,prr,spor,opspor,pops,popos,pos,props,sop,spors"
"i,t,d,g","did,digt,gid,gig,gigt,tid,dit,dig,tig,tit"
"h,v,o,s","hos,hvo,oho,hov,hovs"
"n,k,b,e","bekneb,ben,bene,enke,kneben,benene,ebben,ene,enen,enken,kneb,knebene,knebne"
"l,b,m,i","bil,lim,mil,biml"
"v,l,y,e","elev,elleve,elv,lev,levvel,lyv,lyve,elve,leve,vel"
"i,k,l,f","fif,flik,kik,klik,fifl,fil,fik,kil"
"v,j,s,o","vov,vovvov,vvs,sjov,sjovs,sov,sovs"
"o,b,k,m","bob,bom,boom,obo,bomb,book,kok,kom,mob,mok,ombook,omkom"
"b,n,k,i","bikini,bni,knib"
"a,b,r,m","ambra,ara,barbar,barm,bram,mama,mamba,mbar,rar,arm,bar,ram"
"e,n,z,b","bebe,ben,bene,benzen,zen,benene,ebbe,ebben,ene,enen"
"s,o,r,u","sos,sus,ussr,usus,ros,rors,rurs,rus,sur,surs,urs,uros"
"g,h,a,n","agn,gag,gaga,ghana,nag,gang,hag,hang"
"n,i,u,s","nus,sin,sinus,snu,snus,isn,nis"
"r,f,e,y","fer,fyre,fyrre,fyrrer,referere,feer,fere,fyr,fyrer,fyrrere,reer,referer,refererer"
"r,y,o,m","mormor,moro,orm,rom,rommy,ror,mor,myr"
"o,t,e,f","foto,ofte,otte,toft,tofte,totte,tottet,fotoet,toet,tot"
"d,r,a,s","ard,das,radar,ards,dada,dadas,rad,rads,radars,sad"
"e,t,p,d","pep,peppe,pette,tee,tete,det,dette,peppet,peppede,pet,pettet,pettede,teet,teede"
"i,l,e,m","ile,imellem,lille,lim,mil,lei,lime,mile,mime,mim"
"u,n,e,p","nuppe,puppe,nup,puppen"
"l,i,k,y","klik,kykliky,kil,kyl"
"e,l,v,b","bebe,bel,ble,elev,elleve,elv,lev,levvel,blev,ebbe,elle,elve,leve,vel"
"o,n,r,l","nolo,nor,orlon,rollon,ror,nol"
"o,a,l,s","laos,lasso,oslo,sos,lassos,los,ols,oslos,sol,sols,solo,solos"
"s,a,c,v","sav,vvs,cavas,savs"
"u,c,s,e","succes,sus,suse,usus,suses"
"v,b,r,e","brev,verve,breve,rev,veer,verber"
"p,o,a,l","alp,app,loop,opal,pal,pap,papa,pol,polo,pop,popo,lap,lop,pool"
"k,n,a,i","inka,kaki,kanaan,kanin,kannik,kik,kina,kinin,nankin,nik,ank,kan,nak"
"n,v,f,a","fan,favn,nav,navn,van"
"h,e,y,t","hey,thy,hytte,hyt,hyttet"
"t,a,l,v","atv,tal,tavl,vat,alt,lavt,talt,tav,valt"
"p,o,n,d","pond,pop,popo,dop,nop,pod"
"g,r,i,b","brig,gib,gig,grib,gir,rig"
"u,n,g,k","gnu,knug,kukkuk,kun,nuuk,ung,kuk"
"g,l,n,a","agn,gag,gaga,galan,galla,lag,lang,nag,angl,gal,gang,glan,nagl"
"b,i,o,m","bimbo,bio,bmi,bob,bom,boom,obo,bomb,mob"
"n,y,i,d","din,dyn,dynd,ind,nid,yin,indynd,nyd,nyn,ynd"
"r,o,a,h","ara,hor,hora,rar,rho,ror,har"
"u,s,j,e","sjusse,sus,suse,usus,sjus,sjusses,suses"
"s,g,o,d","odds,sod,sos,dos,gos,gods,gogos,ods,sods"
"m,a,b,i","ambi,bmi,imam,mama,mamba,mim"
"l,o,f,g","fol,glo,logo,golf,googl,log"
"i,o,f,n","fif,fin,info,ion"
"l,f,k,i","flik,klik,fifl,fil,kil"
"t,l,o,c","lotto,coolt,tot"
"b,a,n,l","alba,banal,banan,lab,laban,bal,ban"
"o,m,p,t","motto,pomp,pop,popo,tom,tomt,mop,ompot,pot,top,tot"
