V1,V2
"g,i,l,u,r,f,a","agil,arrig,augur,faglig,farlig,fiffig,figur,figurlig,flag,flig,fragil,frugal,fuga,fugl,gaga,galar,galla,giraf,glug,graf,gral,grif,grill,gullig,guru,liflig,liga,lugar,raga,ufarlig,ulig,urfugl,afrig,agrar,flagr,gafl,grifl,gufl,gurgl,lagr"
"n,i,p,s,l,k,r","kinin,klinik,klinisk,kniks,knips,knirk,link,niks,nips,pink,prins,skin,skrin,kinins,klin,kliniks,klink,klinks,knipl,knirks,lins,links,rink,sink,skins,skrins,snip,snips,snirkl,spin,spins,spink,sprinkl"
"r,j,s,d,l,o,v","jordlod,jordlov,jordvold,lord,lovord,orlov,svovlrod,drosl,jolr,jord,jords,jordlods,jordlovs,jordvolds,lords,lovords,ords,orlovs,rods,rors,rovs,svovlrods,svor,vord"
"g,e,i,s,y,b,k","bebygge,begge,beige,byge,bygge,byggeskik,eksegese,essig,gebis,gibbe,gige,gyse,kigge,kyssesyge,sige,syge,bebyg,bebygges,begs,begges,begik,bygs,byges,bygges,byggeskiks,byggeskikke,byggeskikkes,eges,eksegeses,essige,gies,gibs,gibbes,gigs,giges,gyses,kigs,kigges,kyssesyges,siges,skygge,skygges,skyg,syges"
"o,l,h,d,b,e,i","bebo,behold,beholde,bibeholde,bioolie,blod,bobbe,bodil,bole,dildo,diode,elbo,hobe,hold,holde,idol,libido,lido,lobbe,lobelie,odde,olie,beboede,bibehold,boede,bobbede,boble,bobl,boblede,bold,bolde,bolede,bolle,bollede,doble,dobl,doblede,hobede,lobbede,lodde,loddede"
"b,l,e,y,h,a,g","alba,babel,baby,bagage,bage,bagel,beagle,bebe,bebygge,begge,behag,behage,bleg,blege,blyhagl,byge,bygge,gabe,haglbyge,hybel,labbe,balle,bebyg,ebbe,label"
"h,e,r,k,o,t,p","heppe,heppekor,hero,herop,heroppe,herre,herreret,hook,hork,kohorte,heppet,hepper,heppekoret,heroer,herrer,herreretter,hooket,hoppet,hoppe,hopper,horet,hore,horer,horker,hotte,kohorter,rhoet,rhoer"
"i,d,r,p,o,e,u","deri,diode,dirre,druide,irer,irre,periode,pier,pippe,pirre,podie,prior,rederi,ridder,rippe,roderi,rupi,dier,diede,dioder,dirrer,dirrede,druider,europid,europider,europide,irere,irrer,irrede,perioder,pierer,pipper,pippede,pirrer,pirrede,podier,priorer,proprier,rederier,rier,riede,riddere,ride,rider,ripper,rippede,roderier,rupier"
"k,e,l,b,t,o,p","blok,blokke,booke,ekko,ekkoe,epoke,kele,kobbel,koble,kobolt,koket,kokette,kokotte,kolbe,kollekt,kopek,kote,kotelet,lokke,lokket,look,oktet,opkoble,tekop,tolk,tolke,blokket,book,booket,ekkoet,kelet,klokke,klok,klokket,koblet,kobbelet,kobl,koboltet,kokke,looket,opkobl,opkoblet,tolket"
"i,a,e,t,m,c,l","citat,elite,ilttelt,imam,imellem,item,lilla,lille,limit,mail,maile,mali,malice,metallic,milt,mitte,tilte,timetal,tital,titel,titte,citatet,ilet,ilte,iltet,iltteltet,ilttelte,itemmet,lime,limet,mailet,miet,mile,milte,mime,mimet,tamil,tiet,tiltale,tiltal,tiltalt,tiltalte,tilt,tiltet,time,timet,timetallet,tittet,titallet"
"d,l,k,y,o,r,f","dolk,flokdyr,fodfolk,fodkold,forfod,forlyd,forord,fryd,fyld,fyldord,fyord,kold,lord,lydord,ordlyd,dyrk,flod,flyd,fodr,fold,fordr,fordyr,forlod,krydr"
"j,t,m,e,a,b,n","banje,bejae,betjene,betjent,enjambement,jabbe,jambe,jamen,jamme,jante,maje,meje,naje,neje,tejne,tjat,tjatte,tjene,banjen,beja,bejaet,betjen,betjente,betjenten,betjentene,ejet,enjambementet,jaet,jabbet,jabbene,jamben,jammet,janten,jetten,jettene,majet,mejet,najet,nejet,tejnen,tjattet,tjattene,tjen,tjent,tjente"
"o,s,l,p,f,u,w","flop,flos,flow,followup,loop,opus,oslo,polo,popo,slof,soul,sulfo,flops,flows,followups,loops,oslos,pols,polos,pool,pools,pops,popos,slofs,sols,solo,solos,souls,spol,sulfos,ufos,wows"
"f,b,i,k,e,n,t","bieffekt,effekt,effen,fenne,finke,finne,finnet,bieffekten,effekten,efne,effent,feen,fennen,fiet,fiffet,fiffene,fine,fint,finit,finittet,finitte,finken,finnen,finte,finten,fintet,infinit,infinittet,infinitte"
"d,o,g,s,n,v,a","adgang,dang,dans,davs,donna,goddag,godsvogn,odds,onsdag,soda,svada,vandgang,vandvogn,voodoo,adgangs,ands,dada,dadas,dags,daos,donnas,dovn,gods,godsvogns,onsdags,sand,sands,sods,sodas,sodavand,sodavands,svadas,vads,vand,vands,vandgangs,vandvogns,vods,voodoos"
"n,i,r,c,h,a,g","angina,cancan,chagrin,gangning,ghana,giring,grin,hangar,icing,iran,irgang,ranch,rigning,ringning,rining,angr,gang,garn,gran,hang,rang,ring"
"v,p,s,t,o,n,a","navn,nova,savn,snav,stav,stavn,stovt,svans,tavs,topnavn,vaps,vons,vovvov,navs,navns,novas,ovns,savs,savns,snavs,sovs,stavs,stavns,tavst,topnavns,tovs,vans,vant,vants,vats,vota,votas"
"h,t,l,e,m,p,j","helme,heppe,hjejle,hjelm,hjemle,hjemme,hjemmel,hjemmepleje,plejehjem,hele,helt,helet,helle,helm,helmet,helte,heppet,hjelme,hjem,hjemmet,hjeml,hjemlet,plejehjemmet"
"c,e,p,t,r,f,i","certificere,ciffer,citer,citere,crepe,etcifret,fircifret,firecifret,percipere,pierce,recept,receptfri,recitere,reificere,trecifret,certificer,certificeret,certificerer,cifret,cifferet,cifre,citre,citeret,citerer,crepet,perciper,perciperet,perciperer,piercet,piercer,recepter,receptfrie,receptfrit,reciter,reciteret,reciterer,reificer,reificeret,reificerer"
"h,c,e,r,s,m,i","chemise,hems,heri,herme,herre,herse,hirse,hisse,shiisme,chemises,chemiser,chemisers,chis,chier,chiers,hemse,hemses,hermes,hermer,hermers,herres,herrer,herrers,hers,herser,herses,hier,hiers,hirses,hisser,hissers,hisses,shiismes"
"j,g,i,l,e,a,r","ajle,ejer,galej,galleriejer,gejle,grej,jage,jager,jageri,jarl,jigger,lejer,lejr,lejre,lilje,reje,ejere,galejer,galleriejere,gejl,gejler,grejer,greje,jaer,jagere,jagerier,jarler,jeger,jiggere,leje,lejere,lejrer,liljer,rejer"
"h,u,j,e,l,d,p","hedde,held,helhed,heluld,heppe,hjejle,hjul,hjule,hudpleje,huje,hulhed,hulle,juhu,udhule,uheld,hede,hele,helede,helle,heppede,hjulede,huede,hujede,hule,huld,hulde,hulede,hullede,udhul,udhulede"
"o,a,e,f,g,r,i","agio,agora,efor,ergo,farao,forarge,fore,forfar,forfra,forrige,geofag,geograf,geografi,georgier,giro,gogo,grog,offer,offerere,ofre,orgie,roer,agoraer,eforer,egoer,faraoer,forarg,forarger,forer,fora,geografer,geografier,georgiere,giroer,gror,grogger,offerer,offererer,ofrer,orgier,roere"
"i,a,v,b,n,l,g","agil,alibi,angina,anilin,avling,bagi,bagning,bavian,biavl,bilag,bilingval,billig,blini,galning,gangning,gavnlig,gigbag,glib,gnalling,gnavning,iling,labil,lavning,lian,liga,lignin,ligning,lilla,linning,livlig,nagling,naiv,navngivning,navnlig,vagina,vaginal,vanillin,vanlig,villa,villig,angiv,bilabial,bliv,labial,lign,navngiv"
"j,l,m,t,e,h,p","hjejle,hjelm,hjemle,hjemme,hjemmel,hjemmepleje,jeep,meje,mellemleje,pejle,plejehjem,plejl,tjep,ejet,hjelme,hjem,hjemmet,hjeml,hjemlet,leje,lejet,mejet,mellemlejet,pejl,pejlet,pleje,plej,plejet,plejehjemmet,plejle,tjeppe,tjept"
"b,a,o,p,l,s,m","alba,aplomb,balsa,balsam,basal,boom,boss,mamba,mambo,molbo,samba,albas,aplombs,bals,balsas,balsams,baml,baps,boas,bobs,bobl,boms,bomb,booms,bops,labs,lobs,mambas,mambos,molbos,obos,sabl,sambas,sambo,sambos"
"b,l,u,a,e,m,p","alba,album,appellabel,babel,bamle,bappe,bebe,bemale,buelampe,bulle,bumle,bummelum,bumpe,emblem,labbe,lubbe,lumbal,lumumba,mamba,ublu,albue,albu,appellable,balle,baml,bemal,bule,buml,bump,ebbe,label,lumbale"
"r,u,d,s,n,m,g","drug,grum,grums,grundmur,grus,guru,rund,rundmund,snur,urdu,urund,ussr,drugs,dundr,durs,durum,durums,grund,grunds,grundmurs,gungr,gurus,mudr,murs,rugs,rums,runs,rundmunds,rung,rurs,surs,udgrund,udrug,undr,urdus"
"j,n,p,o,t,e,d","jeep,jeton,neje,optjene,tejne,tjene,tjep,dejen,dejene,deje,ejet,ejende,ejede,jeepen,jeepene,jetten,jettene,jetonen,joden,jodet,joddet,jonen,nejet,nejende,nejede,optjen,optjent,optjenende,optjente,tejnen,tjen,tjent,tjenende,tjente,tjeppe,tjept"
"s,l,u,c,i,r,m","miss,missil,muslim,silicium,silur,simili,sisu,slim,slum,smil,umulius,ussr,usus,curriculums,iris,lims,lirs,lurs,mils,missils,mulms,murs,muslims,rims,risici,risicis,risl,rums,rurs,siliciums,silurs,similis,simr,sirs,sisus,slims,slums,slumr,slus,smils,suls,sums,surs,surmul"
"p,b,i,e,r,y,g","bippe,bipper,grip,pebre,peer,pege,peppe,piber,piberyger,pier,pige,pippe,pirre,rippe,rype,yppe,yppig,bippere,gripper,peber,pebere,pebr,pebrer,peger,pepper,pibe,pibere,piberygere,pierer,pigge,piger,pipper,pirrer,pyer,ripper,ryper,ypper,yppige"
"d,p,g,u,r,i,n","ding,drug,dupning,gnidning,grind,grundig,grunding,guidning,indgnidning,nidding,pind,prud,pudring,pund,ridning,rigid,ringridning,rund,runding,rundpind,rundringning,udpinding,udpining,udringning,udrugning,undring,urdu,urund,dundr,gnid,gnidr,grund,guid,indgnid,pudr,rind,udgrund,udpind,udpin,udrind,udrug,undr"
"k,r,d,g,n,s,o","dorsk,gonokok,kokon,kokos,koks,kondor,konk,kordon,kork,korn,kors,krog,krongods,rokoko,skod,skok,skonrog,skrog,snork,doks,goks,gonokoks,knos,kogs,kokons,kondors,konks,kordons,korks,korns,kros,kror,krogs,kron,noks,norsk,norsks,orks,roks,rokokos,skos,skor,skods,skogr,skoks,skonrogs,skrogs,snorks,soks"
"k,l,g,i,o,c,s","kick,kilo,kiosk,klik,klog,klos,kokos,koks,kolik,kolli,kolos,logik,logisk,lollik,look,oslosk,skik,skok,slisk,sociologisk,goks,kicks,kigs,kiks,kilos,kiosks,kliks,klok,kogs,kogl,koliks,kollis,ksis,logiks,loks,lolliks,looks,skis,skiks,skil,skos,skoks,skol,slik,sliks,slisks,soks"
"o,u,i,n,f,m,r","formor,forum,from,info,ironi,mono,morf,morfin,mormon,mormor,moro,norm,omnium,union,forfin,form,formum,omform,uniform,uror"
"d,l,b,s,o,f,r","blod,bordfodbold,fodbold,forfod,forlods,forord,lods,lord,odds,blods,bods,bold,bolds,bord,bords,bordfodbolds,brod,brods,dobl,drosl,flod,flods,fods,fodbolds,fodr,fold,folds,fordobl,fordr,forfods,forlod,forords,lords,ords,rods,sods,sold,solds"
"p,o,t,a,l,d,k","alpaka,kapok,kappa,laptop,loop,opad,opak,opal,opkald,optakt,papa,plak,plakat,plot,pokal,polak,polka,polo,polt,popo,klap,opakt,opkaldt,oplad,opladt,oplod,optalt,padl,palatal,palatalt,plat,pool"
"f,e,p,l,i,b,s","befippelse,bifil,bifili,fifle,file,fise,fisse,fissil,flippe,flise,lefle,piffe,selfie,befippelses,bifile,bifilis,fifs,fifl,fifles,fils,files,fips,fises,fisses,fissile,flip,flips,flippes,flis,flises,lefl,lefles,pifs,piffes,selfies"
"u,g,l,a,k,e,f","alkefugl,aula,efeu,flue,fuga,fugl,gauge,glug,guffe,gufle,kalkkule,kalkule,klukke,klukle,kugle,kukke,kukkuk,kulak,kullag,lukaf,lulle,uegal,ukulele,aflukke,afluk,alkefugle,fuge,fugle,fule,gufl,gule,kluk,kule,luffe,luge,lukke,uegale,ugle,ulke"
"f,l,g,e,d,a,o","affald,affede,afflade,aflad,aflade,aflede,alfa,fade,falafel,fald,falde,falle,fede,feed,flad,flag,flagdag,foged,folde,gaffe,gaffel,gafle,geofag,ladefoged,lefle,affed,affedede,afflad,affladede,afladede,afled,aflagde,fadede,fedede,flade,fladede,flagdage,flage,flagede,flod,fold,foldede,fole,folede,gaffede,gafl,gaflede,golf,lefl,leflede"
"o,n,d,t,r,b,a","abort,andorra,anno,aorta,baron,bonbon,bror,danbo,dato,donator,donna,donor,dont,dorn,drot,nabo,natbord,natron,noaord,nordbo,nota,notar,notat,orator,ornat,radon,robot,rondo,rotor,tandrod,tarot,tattoo,tora,torn,tornado,tort,anordn,board,boot,bord,bort,brod,nord,ondt,ordn,tordn,totn,tror,tron"
"d,s,m,y,r,t,a","armada,dart,data,datamat,dram,drama,drys,dyst,madras,radar,stad,stamdata,tamdyr,yard,ards,armadas,dada,dadas,dams,darts,datas,datamats,drams,dramas,drat,dyds,dyrs,dyrt,dysts,dyts,mads,myrd,rads,radars,smadr,stads,stamdatas,syds,tamdyrs,tyds,yards"
"r,t,u,o,i,g,b","borg,brig,bror,brutto,burrito,giro,grib,grog,grut,guru,ribbort,rigtig,robot,rotor,tort,tortur,totur,tribut,trio,trit,trug,trut,turbo,tutor,ubrugt,urigtig,utro,utur,bort,brug,brugt,gitr,gror,grub,ibrugtog,rigt,rigtigt,trig,tror,urigtigt,uror"
"a,d,i,v,k,t,u","akut,akvavit,attak,attika,audit,auditiv,data,datid,dativ,david,didaktik,diva,dukat,kadi,kaki,taktik,udad,uddata,utak,utakt,viadukt,vita,additiv,additivt,aktiv,aktivt,auditivt,dada,diktat,dikta,kvad,takt,vakt"
"j,h,a,t,e,n,d","datja,hajtand,jade,jante,najade,naje,neje,tejne,tjat,tjatte,tjene,datjaen,dejen,dejene,deje,ejet,ejende,ejede,hajen,hajtanden,jaet,jaden,janten,jetten,jettene,najaden,najet,najende,najede,nejet,nejende,nejede,tejnen,tjattet,tjattene,tjattende,tjattede,tjen,tjent,tjenende,tjente"
"p,g,y,n,e,b,o","bebop,genopbygge,opbygge,pege,pegebog,penge,penny,peppe,pony,pope,popo,poppe,yppe,beboppen,boppen,epoen,genopbyg,noppe,noppen,opbyg,oppe,pegene,pegebogen,pennen,pennene,penne,pengene,pennyen,pogen,pogene,poge,ponyen,poppen,popen,popoen,pyen"
"s,w,o,f,a,r,d","fars,fosfor,odds,rosa,soda,sofa,aras,ards,dadas,daos,fads,farads,faraos,farfars,fods,fors,forfars,forfods,forords,foras,forwards,fosfors,ords,rads,radars,rods,rors,sars,sods,sodas,sofas,wows"
"t,g,u,o,b,p,r","brutto,bugt,gottorp,grut,optog,optur,output,port,porto,prut,putto,robot,rotor,ruptur,togo,togt,torp,tort,tortur,totur,tout,trop,trug,trup,trut,tugt,turbo,tutor,ubrugt,utro,utugt,utur,boot,bort,brugt,opbrugt,purt,tror"
"l,m,t,d,s,o,r","domstol,lods,lord,lost,lotto,mols,oslo,slot,solomor,solsort,solstorm,stol,stolt,trold,trolddom,domstols,drosl,loms,lords,lort,lorts,lottos,mosl,olmt,oslos,slots,sols,sold,solds,solo,solos,solomors,solsorts,solstorms,stols,told,tolds,toml,trolds,trolddoms,troml"
"d,i,l,h,s,n,o","dild,dildo,dosis,hind,hindi,hold,idol,indhold,lido,lods,london,odds,sild,sind,slid,slids,snild,snold,solid,dilds,dildos,hids,hinds,hindis,holds,idols,ilds,ildn,indholds,indlod,lids,lidos,lind,linds,londons,nids,silds,sinds,snolds,sods,sold,solds"
"v,i,d,a,e,p,t","adaptiv,avet,dativ,david,diva,pave,tave,tavet,vattet,veda,veddet,vedet,vidde,vidt,vita,adaptive,adaptivt,additiv,additivet,additive,additivt,avede,tavede,vadet,vade,vadede,vattede,veddede,viet,viede,viddet,vide,videt,videde,vippet,vippe,vippede"
"i,d,r,k,j,s,o","dirk,disko,diskos,dorisk,dosis,drik,irisk,irsk,jordisk,kiosk,korisk,korridor,kris,orkis,rids,risiko,skid,skik,diks,dirks,disk,disks,driks,iris,irisks,kids,kiks,kiosks,kirs,korridors,ksis,risikos,sikr,sirs,skis,skids,skiks,skrid"
"d,r,f,t,n,o,a","andorra,dart,data,dato,donator,donna,donor,dont,dorn,drot,farad,fondant,forfod,forord,fortand,noaord,nonfood,nordfra,radar,radon,rand,rondo,tand,tandrod,tornado,affandt,affodr,affordr,anordn,dada,drat,fadt,fandt,fodr,fond,forandr,fordr,forordn,nord,ondt,ordn,randt,tordn"
"t,v,l,u,f,j,e","ellevte,flet,flette,flute,futte,juleflet,jute,luft,lufte,luftvej,telt,telte,tete,tuet,tuftet,tutte,tvetulle,ejet,fejt,fejet,fejlet,felt,feltet,flettet,flutet,fult,futtet,julet,juleflettet,leet,leflet,lejet,lette,lettet,levet,levvellet,luet,luffet,luftet,luftveje,lullet,luvet,teet,teltet,tulle,tullet,tuttet,vejet,vuet"
"b,k,i,e,n,f,t","bebe,bekneb,bene,benet,benin,bieffekt,bikini,bitte,enbenet,etbenet,kneben,nibe,nibenit,tibet,benene,beten,bien,biet,bieffekten,bikinien,bitten,bittene,ebbe,ebben,ebbet,kneb,knebet,knebene,knebne,knebent,knibe,kniben,knib,nibenitten"
"r,a,g,u,t,v,l","augur,aura,avra,galar,gral,grat,grav,grut,guru,lugar,luvart,raga,ravgal,ravgul,rural,talar,tara,tarv,tatar,tragt,tralala,trav,travl,trug,trut,utur,valuar,varulv,varv,vrag,agrar,agrart,argt,garv,gravlagt,gurgl,guttural,gutturalt,lagr,lutr,rart,ravgalt,ravgult,ruralt,tral,travlt,tulr,vart,vatr,vralt"
"d,g,y,p,s,t,i","digt,dydig,dygtig,dyst,istid,sidst,spid,spyd,spydig,spydspids,sydspids,tids,digts,dips,dyds,dydigt,dygtigt,dyps,dysts,dyts,gydt,istids,sidt,spids,spidst,spyds,spydigt,syds,tyds"
"y,a,s,e,g,b,f","baby,bebygge,bygas,byge,bygge,byggefag,essay,fyge,gyse,syge,babys,bebyg,bebygges,bygs,byges,bygges,byggefags,essays,fyges,gyses,syes,syges"
"o,r,g,k,t,f,l","flok,folk,fork,forklog,foto,gogo,grog,klog,klor,kork,krog,krolf,loft,logo,look,lotto,otolog,rokoko,rotor,toft,togkort,togo,togt,tolk,tort,flor,flot,forklogt,forkog,forkogt,forkort,forlok,fort,fortog,fortolk,glor,golf,googl,gror,groft,klogt,klok,kogt,kogl,kort,kror,logr,lort,tror,trokl"
"t,i,l,g,u,n,h","gigt,glitning,glut,highlight,hint,hittit,iltning,inuit,light,lugt,niti,nitning,tilhugning,tiltning,tintning,tugt,tugtig,tung,tuning,tutti,unit,uting,utugt,utugtig,glit,gult,gulligt,hult,hunligt,hutl,ligt,lunt,tilhug,tilt,ting,tint,tugtigt,tungt,uligt,ungt,utugtigt"
"f,o,u,l,k,s,d","flok,floks,flokuld,flos,fluks,flus,fodfolk,fodkold,fokus,folk,fuks,fuld,fusk,slof,sludfuld,sulfo,flod,flods,flokulds,fods,fodfolks,foks,fold,folds,folks,fusks,kufs,skuf,slofs,sulfos,udfold,ufos"
"g,w,o,n,b,l,i","billig,billigbog,biolog,biologi,blog,boglig,bolig,boning,bowling,gibbon,gigolo,glib,gogo,gong,gongong,iglo,iling,lignin,ligning,linning,logbog,logi,login,logning,logo,logon,wing,bingo,googl,lign"
"g,u,l,n,i,t,h","gigt,glitning,glug,glughul,glut,gullig,highlight,hugning,hunlig,iling,iltning,light,lignin,ligning,linning,lugning,lugt,nitning,tilhugning,tiltning,tintning,tugt,tugtig,tung,tuning,ulig,uting,utugt,utugtig,glit,gult,gulligt,guln,hulning,hunligt,ligt,lign,tilhug,ting,tugtigt,tungt,uligt,ungt,utugtigt"
"f,i,o,s,k,t,p","fiks,fisk,foto,fotokopi,skift,soffit,sofist,sofistisk,stof,stokfisk,toft,fifs,fikst,fips,fist,fisks,foks,fotos,fotokopis,opfisk,pifs,pift,pifts,skifts,soffits,sofists,stift,stifts,stofs,stokfisks,tofts"
"y,l,k,n,s,c,o","cyklon,klynk,klys,kysk,lyssky,lyssyn,nylon,nysyn,onyks,skyl,synk,synsk,yoyo,cykl,cyklons,klynks,knys,lyns,lysk,lysn,lyssyns,nyks,nylons,nysyns,skys,skyls,sollys,syls,syns,synks,sysl,ynks,yoyos"
"k,d,f,e,a,v,l","afkald,afkalke,dekade,elkedel,fakkel,falk,fedekalv,flakke,kaffe,kakkel,kald,kalla,kalv,kalve,kavalkade,kede,kedel,kele,kladde,kval,kvalkved,lakke,vakle,valk,vallak,afkalk,afkalkede,akavede,alke,fake,fakede,falke,fedekalve,flak,flakkede,kalde,kaldede,kalk,kalke,kalkede,kalvede,kedede,kelede,kvad,lakkede,vakl,vaklede,valke,valkede"
"a,t,p,y,l,n,i","alpin,altan,anal,anilin,annal,antal,antipati,apati,lala,latin,lian,lilla,litani,nappa,nital,panini,pant,panty,papa,papil,patina,platan,platin,ptyalin,tannin,tant,tantal,tital,alpint,analt,initial,initialt,palatal,palatalt,plan,plant,plat,talt,tilplant,tiltal,tiltalt,titan"
"n,s,a,r,c,g,m","anagram,ananas,armagnac,armgang,cancan,mangan,manna,sagn,sagsgang,smagssans,snar,snas,agns,anagrams,angr,anmas,annam,armagnacs,armgangs,cancans,gang,gangs,garn,garns,gran,grans,mans,manga,mangas,mangans,mannas,nags,nars,rans,rang,rangs,ransag,sagns,sagsgangs,sang,sangs,sans,scan,snag"
"o,k,p,l,a,r,b","barolo,blok,broklap,bror,kakao,kapok,karbol,klapbro,kloak,klor,klorkalk,koala,kobra,kopar,kopra,koralkalk,kork,korkprop,korporal,krop,lokal,look,loop,okra,opak,opal,papbror,parabol,pokal,polak,polar,polka,polo,popo,prop,rokoko,barok,bobl,book,brok,klok,kobl,koral,kror,opklar,opkobl,oral,pool"
"r,b,a,t,i,v,u","attribut,attributiv,aura,avra,barbar,barbari,brat,brav,bravur,rabat,rabbi,rabiat,raita,tara,tarv,tatar,tiara,trav,tribut,trit,trivi,trut,utur,varia,varv,virvar,attributivt,bart,bravt,rart,vart,vatr,vira"
"l,f,u,s,i,g,r","figurlig,filur,fissil,flig,flus,fugl,glug,grill,gullig,isfugl,liflig,risfugl,silur,sirlig,slig,suffli,ulig,urfugl,fifl,fils,filurs,fligs,flis,fugls,glugs,grifl,grills,gufl,gurgl,isfugls,ligs,lirs,lurs,risfugls,risl,silurs,slug,slus,sufflis,suls,urfugls"
"k,t,v,r,l,u,i","kilt,klik,klir,klit,kritik,kruk,kukkuk,kukur,kuli,kult,kultur,kulturkritik,kulturliv,kurv,kvit,lukt,vrik,kluk,kril,krilr,kvik,kvikt,kvilt,lirk,tilluk,tilvirk,vikl,virk"
"m,g,a,r,l,i,t","alarm,almagt,amalgam,gamma,gigtramt,glam,glimt,grim,imam,larm,limit,magi,magma,magt,mail,malaria,mali,malm,malt,malta,mama,maritim,milligram,milt,mitra,rimglat,talmagi,tamtam,tarm,armt,glimr,gram,gramt,grimt,lamt,lama,magr,maritimt,martr,mimr,ramt,raml,tamt,tamil,triml,trim"
